                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88306,                 2.6017,                 1.1909,                0.00464,                      1,                0.77841,                0.52788,                0.64874,                 2.8625,                 1.1658,                0.00018,                0.00018,                0.00018
                      2,                0.81623,                 1.5837,                 1.1175,                      1,                0.24202,                0.70775,                0.46546,                0.86894,                 2.7593,                 1.3907,             0.00037624,             0.00037624,             0.00037624
                      3,                0.87343,                 1.5108,                 1.1741,                0.89905,                0.34262,                0.66469,                0.41091,                 1.0418,                 2.8808,                 1.5333,             0.00056852,             0.00056852,             0.00056852
                      4,                 0.9263,                 1.5436,                 1.1947,                0.87981,                0.65699,                0.73938,                0.50599,                 1.0171,                 2.5124,                 1.5394,             0.00075683,             0.00075683,             0.00075683
                      5,                0.90355,                 1.5312,                 1.1544,                0.48225,                0.34615,                0.40872,                0.19287,                 1.4393,                 2.9704,                 1.7858,             0.00094119,             0.00094119,             0.00094119
                      6,                 1.0077,                 1.6129,                 1.2072,                0.75081,                0.61538,                0.69931,                 0.4224,                 1.1996,                 2.3708,                 1.9508,              0.0011216,              0.0011216,              0.0011216
                      7,                 0.9721,                 1.4521,                 1.1911,                0.73282,                0.58974,                0.66378,                0.34798,                  1.178,                 2.2777,                 1.7505,               0.001298,               0.001298,               0.001298
                      8,                 1.0068,                  1.415,                  1.194,                0.50762,                0.52564,                  0.539,                0.28797,                 1.2978,                 2.4889,                  1.756,              0.0014705,              0.0014705,              0.0014705
                      9,                0.97026,                 1.3578,                 1.2171,                0.68794,                0.58974,                0.57987,                0.29568,                  1.259,                 2.7179,                 1.7644,               0.001639,               0.001639,               0.001639
                     10,                 1.0123,                 1.4281,                  1.258,                0.51107,                0.57692,                0.53821,                0.23483,                 1.6941,                    2.7,                 2.3013,              0.0018036,              0.0018036,              0.0018036
                     11,                 1.0039,                 1.3907,                 1.2485,                0.57218,                0.61538,                0.62932,                0.29522,                 1.6026,                 3.2231,                 2.4645,               0.001802,               0.001802,               0.001802
                     12,                 1.0164,                 1.3857,                 1.2418,                0.32056,                0.37179,                0.32691,                0.14418,                 1.7757,                   9.04,                 2.3839,               0.001802,               0.001802,               0.001802
                     13,                  0.918,                 1.2919,                 1.1797,                0.66195,                0.65274,                0.68598,                0.39329,                 1.3855,                 3.7226,                  2.013,              0.0017822,              0.0017822,              0.0017822
                     14,                0.92926,                  1.226,                  1.212,                0.84819,                0.55128,                0.62425,                0.34119,                 1.5332,                 2.4806,                 2.4035,              0.0017624,              0.0017624,              0.0017624
                     15,                0.93791,                 1.1695,                 1.1901,                0.70896,                0.60256,                0.67101,                0.41248,                 1.2345,                 2.1586,                 1.9181,              0.0017426,              0.0017426,              0.0017426
                     16,                0.87239,                 1.1675,                 1.1403,                0.69657,                0.75641,                0.68275,                0.44366,                 1.1787,                 1.8575,                 1.8207,              0.0017228,              0.0017228,              0.0017228
                     17,                 0.8579,                 1.1055,                 1.1338,                0.82915,                0.69231,                0.68273,                0.48767,                 1.0328,                 1.7826,                 1.6446,               0.001703,               0.001703,               0.001703
                     18,                 0.8724,                 1.0559,                 1.1467,                0.79061,                0.70513,                0.73116,                 0.4763,                 1.1249,                 1.6956,                 1.6597,              0.0016832,              0.0016832,              0.0016832
                     19,                0.87159,                 1.0765,                 1.1716,                0.62988,                0.69231,                0.65759,                 0.3729,                 1.4544,                 2.4108,                 2.2579,              0.0016634,              0.0016634,              0.0016634
                     20,                0.83215,                 1.0432,                 1.1212,                0.71554,                0.71795,                0.68956,                0.44643,                 1.1342,                 1.6987,                 1.7465,              0.0016436,              0.0016436,              0.0016436
                     21,                0.80062,                 1.0301,                 1.1171,                0.76179,                0.70513,                0.71721,                0.43887,                  1.195,                 2.1369,                 1.9129,              0.0016238,              0.0016238,              0.0016238
                     22,                0.86329,                0.99451,                 1.1564,                0.73045,                0.73077,                0.78262,                0.46908,                 1.1525,                 2.1784,                 1.7067,               0.001604,               0.001604,               0.001604
                     23,                0.84318,                0.93416,                   1.12,                0.82203,                 0.7698,                0.83199,                0.56299,                 1.0437,                 1.4388,                 1.5807,              0.0015842,              0.0015842,              0.0015842
                     24,                0.87414,                0.93215,                 1.1559,                0.90684,                0.74884,                0.81516,                0.58188,                0.98015,                 1.3846,                 1.4765,              0.0015644,              0.0015644,              0.0015644
                     25,                0.84784,                0.91976,                 1.1505,                0.71045,                0.76923,                0.77074,                0.49762,                 1.2399,                 1.5668,                 1.5921,              0.0015446,              0.0015446,              0.0015446
                     26,                0.82008,                0.92106,                 1.1117,                0.63072,                0.75641,                0.69403,                0.43435,                 1.2818,                 1.8544,                 1.6812,              0.0015248,              0.0015248,              0.0015248
                     27,                0.83199,                0.88597,                  1.092,                0.73418,                0.73077,                0.74938,                 0.5166,                 1.1282,                 1.4803,                 1.5111,               0.001505,               0.001505,               0.001505
                     28,                0.82196,                0.87344,                 1.1137,                0.81377,                0.67233,                0.80248,                0.54308,                 1.0155,                  1.688,                 1.4775,              0.0014852,              0.0014852,              0.0014852
                     29,                0.81062,                0.82344,                 1.0958,                0.79796,                0.64103,                0.74706,                0.48566,                 1.0955,                 1.6259,                  1.526,              0.0014654,              0.0014654,              0.0014654
                     30,                 0.8288,                  0.857,                 1.1116,                0.88621,                0.69895,                0.77482,                 0.4899,                 1.1415,                 1.4071,                  1.537,              0.0014456,              0.0014456,              0.0014456
                     31,                0.78521,                0.84882,                 1.0937,                0.83648,                0.72143,                0.79122,                0.54823,                 1.0335,                 1.2036,                 1.4447,              0.0014258,              0.0014258,              0.0014258
                     32,                0.73414,                0.80615,                 1.0602,                0.76768,                0.72024,                0.79111,                0.50174,                 1.1178,                 1.2422,                 1.5624,               0.001406,               0.001406,               0.001406
                     33,                0.76412,                0.82978,                 1.0795,                0.78222,                0.66667,                0.76472,                0.52409,                 1.1209,                 1.1967,                 1.5561,              0.0013862,              0.0013862,              0.0013862
                     34,                0.81801,                0.87015,                 1.1325,                0.78785,                0.67949,                0.71793,                0.48953,                 1.2046,                 1.3993,                 1.5981,              0.0013664,              0.0013664,              0.0013664
                     35,                0.78515,                0.83027,                 1.0519,                0.81876,                0.81085,                0.85927,                0.58791,                 0.9545,                 1.0649,                 1.3942,              0.0013466,              0.0013466,              0.0013466
                     36,                0.78121,                0.84482,                  1.099,                0.80564,                0.75641,                0.82026,                0.56976,                 1.0228,                 1.0387,                 1.4784,              0.0013268,              0.0013268,              0.0013268
                     37,                0.78436,                0.83072,                 1.0671,                0.87268,                 0.7909,                0.87394,                 0.5992,                0.94825,                0.98474,                 1.3932,               0.001307,               0.001307,               0.001307
                     38,                0.73616,                0.79555,                 1.0762,                0.85366,                0.73077,                0.80184,                0.57895,                 1.0344,                 1.0921,                  1.466,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.7463,                0.76103,                 1.0447,                 0.8324,                0.76412,                0.83503,                 0.6458,                0.89004,                 1.0536,                 1.2925,              0.0012674,              0.0012674,              0.0012674
                     40,                0.75804,                0.74088,                 1.0759,                0.89392,                0.71795,                0.79524,                0.62061,                0.89295,                 1.0648,                 1.2652,              0.0012476,              0.0012476,              0.0012476
                     41,                0.75426,                 0.7134,                 1.0809,                0.83314,                0.70513,                  0.779,                0.56817,                 1.0148,                 1.1728,                 1.3954,              0.0012278,              0.0012278,              0.0012278
                     42,                0.69757,                0.69922,                 1.0262,                0.87174,                0.69231,                0.80817,                0.61706,                0.86169,                 1.0345,                  1.347,               0.001208,               0.001208,               0.001208
                     43,                0.72015,                0.68543,                 1.0631,                0.84769,                0.78205,                0.84527,                0.63767,                 0.8891,                0.96985,                 1.3811,              0.0011882,              0.0011882,              0.0011882
                     44,                0.73296,                0.72551,                 1.0613,                0.85775,                0.74359,                0.81901,                0.62424,                0.85536,                 1.0272,                 1.3256,              0.0011684,              0.0011684,              0.0011684
                     45,                0.68127,                 0.6899,                 1.0551,                 0.8839,                0.78084,                0.84781,                0.63285,                0.91279,                 1.0602,                 1.3555,              0.0011486,              0.0011486,              0.0011486
                     46,                0.70528,                0.68306,                 1.0488,                 0.9018,                0.75641,                0.83911,                0.63119,                 0.9001,                0.99401,                    1.4,              0.0011288,              0.0011288,              0.0011288
                     47,                0.67615,                0.67399,                 1.0405,                0.83195,                0.79487,                0.82952,                0.62689,                0.89478,                 1.0066,                 1.4103,               0.001109,               0.001109,               0.001109
                     48,                0.70675,                 0.6627,                 1.0674,                 0.8471,                0.73077,                0.78937,                0.56397,                 1.0513,                 1.1008,                 1.5883,              0.0010892,              0.0010892,              0.0010892
                     49,                0.68787,                0.67531,                 1.0353,                0.82444,                0.72249,                0.78404,                0.56127,                  1.076,                 1.1399,                 1.6042,              0.0010694,              0.0010694,              0.0010694
                     50,                0.67184,                0.65775,                  1.043,                0.86661,                0.74359,                0.82674,                 0.6122,                0.93508,                0.98762,                 1.4262,              0.0010496,              0.0010496,              0.0010496
                     51,                0.66306,                0.65421,                 1.0429,                0.82467,                0.80769,                0.85837,                0.64664,                0.88245,                0.84885,                 1.3857,              0.0010298,              0.0010298,              0.0010298
                     52,                0.66445,                0.62774,                 1.0113,                 0.8086,                0.81248,                0.86606,                0.60636,                 0.9686,                0.83776,                 1.4526,                0.00101,                0.00101,                0.00101
                     53,                0.64347,                0.60535,                 1.0104,                0.89362,                0.75392,                0.86937,                0.63799,                0.92011,                 0.8177,                 1.3953,              0.0009902,              0.0009902,              0.0009902
                     54,                0.63666,                0.62396,                  1.003,                0.94018,                0.73077,                0.86575,                0.63609,                0.91181,                0.93188,                 1.3875,              0.0009704,              0.0009704,              0.0009704
                     55,                0.64077,                0.59616,                 0.9995,                0.89925,                0.67949,                0.81869,                0.59402,                0.95055,                0.99821,                 1.4341,              0.0009506,              0.0009506,              0.0009506
                     56,                0.63899,                0.60184,                 1.0001,                0.91791,                0.71677,                0.81337,                0.57281,                0.96414,                 1.0231,                 1.4588,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.6288,                0.60894,                 1.0037,                0.86235,                0.76923,                0.80919,                 0.5905,                0.94188,                 0.8991,                 1.4185,               0.000911,               0.000911,               0.000911
                     58,                0.61365,                0.56304,                 0.9995,                0.89366,                0.75422,                0.86975,                0.65105,                0.83796,                0.86396,                 1.2678,              0.0008912,              0.0008912,              0.0008912
                     59,                0.59385,                0.56886,                0.99916,                0.83131,                0.88462,                0.89278,                0.69306,                0.73145,                0.77756,                 1.1911,              0.0008714,              0.0008714,              0.0008714
                     60,                0.62975,                0.57975,                0.97995,                0.86287,                0.79487,                0.86921,                0.69969,                0.71897,                0.75227,                 1.2044,              0.0008516,              0.0008516,              0.0008516
                     61,                0.59198,                0.54727,                0.98543,                0.86869,                0.85897,                0.89773,                0.70361,                0.75992,                0.71331,                 1.2351,              0.0008318,              0.0008318,              0.0008318
                     62,                0.63243,                 0.5672,                 1.0271,                0.84286,                0.80769,                0.87359,                0.67981,                0.79213,                0.75577,                 1.3196,               0.000812,               0.000812,               0.000812
                     63,                0.60872,                0.56048,                0.98522,                0.80212,                0.87179,                0.89782,                0.70186,                0.73672,                0.73704,                 1.2657,              0.0007922,              0.0007922,              0.0007922
                     64,                0.58375,                 0.5113,                0.99554,                0.92264,                0.73077,                0.88486,                0.66965,                0.78506,                0.85666,                 1.2452,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.5804,                0.52784,                0.95759,                0.91294,                0.74359,                 0.8789,                0.69616,                0.77114,                0.79322,                 1.2271,              0.0007526,              0.0007526,              0.0007526
                     66,                0.60113,                0.54309,                0.99813,                 0.8616,                0.79814,                0.87538,                0.70755,                0.77029,                0.81603,                 1.2089,              0.0007328,              0.0007328,              0.0007328
                     67,                0.59113,                0.54722,                0.96722,                0.84138,                0.81608,                0.87577,                0.67458,                0.86498,                0.88153,                 1.2685,               0.000713,               0.000713,               0.000713
                     68,                0.59775,                0.56865,                 1.0004,                 0.9472,                0.74359,                0.88796,                0.67918,                0.82982,                0.80274,                 1.2723,              0.0006932,              0.0006932,              0.0006932
                     69,                0.56018,                 0.5289,                 0.9702,                0.88903,                0.76923,                0.86901,                0.67657,                0.80456,                0.83439,                 1.2563,              0.0006734,              0.0006734,              0.0006734
                     70,                0.56765,                0.51641,                0.99526,                0.84885,                0.79204,                0.84465,                0.65224,                0.83802,                0.88066,                 1.2989,              0.0006536,              0.0006536,              0.0006536
                     71,                0.54222,                0.50589,                0.96118,                0.88641,                0.80041,                0.84942,                0.65646,                0.85547,                0.87547,                 1.2872,              0.0006338,              0.0006338,              0.0006338
                     72,                0.57732,                0.50335,                 0.9714,                0.88693,                0.80452,                0.85471,                0.67343,                0.79912,                 0.8348,                 1.2372,               0.000614,               0.000614,               0.000614
                     73,                0.53186,                0.50157,                0.96028,                0.89882,                0.76923,                0.86346,                0.66355,                0.77726,                0.86857,                 1.2094,              0.0005942,              0.0005942,              0.0005942
                     74,                0.55197,                0.51643,                  0.969,                0.89229,                0.73077,                0.81956,                0.63627,                0.85313,                0.90799,                 1.2736,              0.0005744,              0.0005744,              0.0005744
                     75,                0.53664,                0.49106,                0.95499,                0.89534,                0.76778,                 0.8491,                0.67195,                0.79686,                0.80778,                   1.24,              0.0005546,              0.0005546,              0.0005546
                     76,                0.54197,                0.49816,                0.97651,                0.87207,                0.82051,                0.88516,                0.69518,                0.73527,                0.70879,                 1.1985,              0.0005348,              0.0005348,              0.0005348
                     77,                0.55346,                0.49191,                 1.0011,                 0.9098,                0.77593,                0.88805,                0.69919,                0.76526,                0.74155,                 1.1953,               0.000515,               0.000515,               0.000515
                     78,                0.55237,                0.47256,                0.99259,                0.98303,                0.74251,                 0.8846,                0.68464,                0.82321,                0.79496,                 1.2526,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.5395,                 0.5158,                0.93853,                0.87439,                0.84615,                0.89436,                 0.6834,                0.82183,                0.74792,                 1.2622,              0.0004754,              0.0004754,              0.0004754
                     80,                0.49794,                0.46542,                0.95866,                0.84694,                 0.8513,                0.90985,                0.69896,                 0.7794,                0.66916,                 1.2256,              0.0004556,              0.0004556,              0.0004556
                     81,                0.53069,                0.44333,                0.95101,                0.90366,                0.78205,                0.91064,                0.70288,                0.78066,                0.68247,                 1.2135,              0.0004358,              0.0004358,              0.0004358
                     82,                0.52941,                0.45939,                0.96525,                0.90827,                0.82051,                0.89957,                0.69937,                0.76275,                0.68598,                 1.2038,               0.000416,               0.000416,               0.000416
                     83,                0.52384,                0.46957,                0.95497,                0.89563,                0.80769,                0.88287,                0.67817,                0.81167,                0.76026,                 1.2448,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.5229,                0.47563,                0.94408,                0.92162,                 0.7538,                0.84272,                0.63831,                 0.8893,                0.87609,                 1.3138,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.4728,                0.43665,                0.95639,                0.88231,                 0.7689,                0.85259,                0.65488,                0.86923,                0.86165,                 1.3022,              0.0003566,              0.0003566,              0.0003566
                     86,                0.49447,                 0.4479,                0.93273,                0.90788,                0.75817,                0.86872,                0.67882,                0.81447,                0.82942,                 1.2715,              0.0003368,              0.0003368,              0.0003368
                     87,                0.48975,                0.43351,                0.92276,                0.89502,                0.76514,                0.87979,                0.69155,                0.79647,                0.80581,                 1.2446,               0.000317,               0.000317,               0.000317
                     88,                0.51202,                0.44893,                0.95483,                0.89343,                0.78205,                0.88651,                0.68565,                0.78633,                0.79723,                 1.2313,              0.0002972,              0.0002972,              0.0002972
                     89,                0.46755,                0.41885,                0.93186,                0.91158,                0.79303,                0.89686,                0.70046,                0.78948,                0.76876,                  1.239,              0.0002774,              0.0002774,              0.0002774
                     90,                0.46878,                0.42006,                0.93266,                0.92816,                 0.8282,                0.90321,                0.70599,                0.80293,                0.75969,                 1.2425,              0.0002576,              0.0002576,              0.0002576
                     91,                0.46237,                0.54312,                0.89823,                0.93002,                0.83333,                0.89848,                 0.6931,                0.81661,                0.77131,                 1.2455,              0.0002378,              0.0002378,              0.0002378
                     92,                0.43567,                0.43656,                0.90057,                0.90734,                0.76923,                0.84244,                0.65224,                0.86346,                0.84152,                 1.3042,               0.000218,               0.000218,               0.000218
                     93,                0.39616,                0.38866,                 0.8772,                0.83359,                0.77066,                0.83153,                0.62987,                0.89186,                0.91303,                 1.3293,              0.0001982,              0.0001982,              0.0001982
                     94,                0.39445,                0.38128,                0.86276,                0.92497,                0.73077,                0.83202,                0.61562,                0.89417,                0.92358,                 1.3301,              0.0001784,              0.0001784,              0.0001784
                     95,                0.40722,                0.37799,                0.85839,                0.86943,                0.76832,                0.85101,                0.63654,                0.85601,                0.87271,                 1.3074,              0.0001586,              0.0001586,              0.0001586
                     96,                0.39674,                 0.3715,                0.87269,                0.90764,                0.75641,                0.85777,                0.64597,                0.81646,                0.82658,                  1.276,              0.0001388,              0.0001388,              0.0001388
                     97,                0.38178,                0.35683,                0.85854,                0.89214,                0.75641,                0.87745,                0.66211,                0.79314,                0.79079,                 1.2479,               0.000119,               0.000119,               0.000119
                     98,                0.37233,                0.36174,                0.87623,                0.82096,                0.83333,                0.87595,                0.67538,                0.78698,                0.78225,                 1.2387,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.36091,                0.34815,                0.86697,                 0.9194,                0.74359,                0.87476,                0.67823,                0.77771,                 0.7819,                 1.2278,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.35732,                0.33143,                0.85867,                 0.8723,                0.78824,                0.87585,                0.68624,                0.76304,                0.77836,                 1.2135,               5.96e-05,               5.96e-05,               5.96e-05
